[2025-10-22T04:46:04.838Z] [INFO] === Starting Chiang Mai WebSocket Client ===
[2025-10-22T04:46:04.839Z] [INFO] [เชียงใหม่] Initializing database connection...
[2025-10-22T04:50:00.246Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14322.800000000001,"8685":0,"8686":null,"8687":6012.200000000001,"8688":null,"8689":null,"18069":1334901.5,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:50:09.311Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14322.800000000001,"8685":0,"8686":null,"8687":6059.700000000001,"8688":null,"8689":null,"18069":1334901.5,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:15.346Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14347.400000000001,"8685":0,"8686":null,"8687":6059.700000000001,"8688":null,"8689":null,"18069":1334901.6,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:24.424Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14347.400000000001,"8685":0,"8686":null,"8687":6033.5,"8688":null,"8689":null,"18069":1334901.6,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:30.461Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14332.1,"8685":0,"8686":null,"8687":6033.5,"8688":null,"8689":null,"18069":1334901.6,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:33.477Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14332.1,"8685":0,"8686":null,"8687":6019,"8688":null,"8689":null,"18069":1334901.6,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:36.512Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14328.2,"8685":0,"8686":null,"8687":6053.900000000001,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:39.514Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14296.6,"8685":0,"8686":null,"8687":6053.900000000001,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:42.552Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14304.400000000001,"8685":0,"8686":null,"8687":6056.6,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:45.614Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14304.400000000001,"8685":0,"8686":null,"8687":6078.200000000001,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:48.574Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14260.1,"8685":0,"8686":null,"8687":6071.700000000001,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:51.609Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14300.2,"8685":0,"8686":null,"8687":6071.700000000001,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:54.626Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14300.2,"8685":0,"8686":null,"8687":6020.8,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:50:57.645Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14293.300000000001,"8685":0,"8686":null,"8687":6061.200000000001,"8688":null,"8689":null,"18069":1334901.7000000002,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:51:00.667Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14311.300000000001,"8685":0,"8686":null,"8687":6061.200000000001,"8688":null,"8689":null,"18069":1334901.8,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:51:03.708Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14311.300000000001,"8685":0,"8686":null,"8687":6063.700000000001,"8688":null,"8689":null,"18069":1334901.8,"18070":3498.3,"73909":null,"73910":559384,"75428":null,"75429":null}
[2025-10-22T04:51:06.729Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14312.900000000001,"8685":0,"8686":null,"8687":6054.400000000001,"8688":null,"8689":null,"18069":1334901.8,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:09.736Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14281.800000000001,"8685":0,"8686":null,"8687":6054.400000000001,"8688":null,"8689":null,"18069":1334901.8,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:12.826Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14333.6,"8685":0,"8686":null,"8687":6065.5,"8688":null,"8689":null,"18069":1334901.8,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
